T00846,Measurement of Pavement Surface Macrotexture Depth using a Volumetric Patch Technique,BS EN 13036-1 / ASTM E965
AIR0010,"Metals Suite 2 (As, Be, Cd, Pb, Mn, Ni.)",Based on HF BS EN 14385
CPC553,Method for measurement of slip/skid resistance - The pendulum test,BS EN 13036-4:2011
RCK0010,Micro Deval,BS EN 1097-1
CHE013,Microsilica - Chemical Analysis,BS EN 196-2
CPC490,Min. Mean Coefficient of Permeability,BS EN ISO 11058
T00161,Modulus of Elasticity in Compression,BS EN 13412
CPC434,Mohs hardness,BS EN 101
T00015,Moisture,BS EN ISO 11127-5
CPH307,Moisture Content,BS EN 322
SPL403,Moisture Content,BS EN 13183-1
CHM006,Moisture Content,BS EN ISO 11127
T00937,Moisture Content,BS EN ISO 17892-1
T00339,Moisture Content,BS EN 15167-1 Annex A
CON112,Mortar - Compressive Strength,BS EN 1015-11
T00008,Mortar - Compressive Strength,BS EN 1015-11
CON021,Net and Gross Dry Density,BS EN 772-13
CPC328,Nib Suport,BS EN 491-5.9
CPC179,Open Porosity,BS EN 1936
SPL504,Open Porosity,BS EN 1936
CPC331,Open Time,BS EN 1346
T00446,Open Time,BS EN 12004-2
CPC545,Open Time by tensile Adhesion @ 30 min,BS EN 1346
CPC544,Open Time by tensile Adhesion @ 5 min,BS EN 1346
T01172,Open Time by Tensile Strength @ 20 Min.,BS EN 13007
CPC543,Open Time by tensile Strength @ 25 min,BS EN 1346
ASO203,Organic Contaminators by Mortar Method,BS EN 1744:1
CPH345,Outside Diameter,BS EN 1329-1
CPC368,Outside Diameter - UPVC,BS EN 1329-1
T00821,Overall Thickness,BS EN ISO 24346
PWA517,Oxidizable Matter,BS EN ISO 3696
T00501,Package Price for Bentonite Testing,BS EN 1538 + LTA Spec
T00571,Package Price for Fly Ash Chemical Test,BS EN 450-1
T00570,Package Price for Fly Ash Physical Test,BS EN 450-1
T00415,Package Price for Microfine Cement / OPC for Rock Grouting,BS EN 12715
T00581,Package Price for Silica Fume Chemical Test,BS EN 13263-1
T00582,Package Price for Silica Fume Physical Test,BS EN 13263-1
T00404,Package Price for Tile Testing,BS EN 14411 Spec
SPL248,Paints - Falling-weight,BS EN ISO 6272-1
SPL165,Paints - Impact Resistance,BS EN ISO 6272-1
SPL251,Paints-Continous Condensation,BS EN ISO 6270
CPH155,Paper Grammage: Gypsum Board,BS EN ISO 536
RCK007,Particle Density & Water Absorption,BS EN 13383-2
T00912,Particle Size Distribution (Sieve Analysis),BS EN ISO 17892-4
ASO050,Particle Size Distribution (Sieve Analysis),BS EN 933-1
T01095,Particle Size Distribution (Sieving + Hydrometer Method),BS EN ISO 17892-4 Cl 5.2 & 5.3
ASO081,Particle Size Distribution < 2mm,BS EN 933-10
ASO069,Particle Size Distribution-Wet,BS EN 933-1
T00366,"Pavement Coring (100/150mm Diameter, up to 200mm Depth)",BS EN 12504-1
